Id,Machine Name,Machine Image,Machine link,Bond Placement Repeatability,Bonding Area,Loop Types,UPH,XY Resolution,Z Resolution,Fine Pitch Capability,Loop Height Variation,Wire Length,Wire Capacity,Optics Lens Magnification,S-Scan Vision Engine,Recognition Range,Reference Systems,Camera Type,Depth Of Field,Die Rotation,XY Motors Type,L/F Width,L/F Length,L/F Thickness,Die Site Indexing Pitch,No.of Magazine,No. of Levels,Magazine Width,Magazine Length,Magazine Height,Slot Pitch (Range of Pitch),Spool Diameter,Spool Width,Wire Count,Wire End,Drive Motor Type,Wire Clamp,Bond Time Range,Ultrasonic Mode,Transducer Frequency,Man Machine Interface,Storage Media ,Power Input,Power Consumption,Minimum Air Pressure,Air Consumption,Air Quality,Environmental Requirement,Machine Outline,Machine Weight,Machine Shipping Weight,Indexers,Material Handling Kits,Heavy Wire Kit,Illumination Kit,QFN Kit,Cu Application,Easy CU Convertion,Smart PR,Easy Cu Looping,Smart Wire Handler,Auto Wire Rethread
1,Eagle AERO,eagle-aero.png,../html/Wire Bonders Products/Eagle Aero.html,± 2.0um @ 3-sigma,56mm x 90mm (LF width <=100mm) ,ECX Plus Loop Profile up to 15 kinks  ,24 wires/sec for 2mm,10nm,10nm,45 um BPP for Cu<br>40 um BPP for Au,2 mil (Ultra Low Loop) - 16 mil,0.2 - 8mm,Up to 10000 for Step Repeat Matrix,"Programmable Focus:<br>Dual optical path 7.2X and 1.7X <br>PR Look-Ahead:<br>Dual optical path 5.2X and 1X",-,"± 2.5 mil<br>X & Y± 10°(programmable)
",-,CCD,"Programmable Focus:<br>
60 um @ 8.0X<br>
350 um @ 2.0X ",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 105mm  ,140 - 300mm, 0.1 - 0.8mm ,-,3 (40 levels with 0.1'' pitch / 2.54mm),Programmable,32 - 115mm   ,140 - 305mm,180mm (max) ,2.4 - 10mm programmable ,50 mm,50 mm,Yes,Yes,Voice coil motor,"Piezo driven, pivot-less mechanism",1 - 255 ms,"Constant Current, Constant Voltage, Constant Power",138 KHz / 80KHz,Windows-based GUI,-,-,Max 1500W,-,"minimum 5 BAR, 150 lpm, Inlet tube OD 12mm",-,-,1200mm (width) x 990mm (length) x 1760mm (height),800Kg,-,Yes,-,NA,NA,NA,NA,NA,NA,NA,NA,Capable
2,iHawk AERO,ihawk-aero.png,../html/Wire Bonders Products/iHawk Aero.html,± 3.0um @ 3-sigma,56mm x 90mm (LF width <=100mm),New Loop Profile ECX for up to 15-kink,24 wires/sec for 2mm,10nm,10nm,45 um BPP for Cu<br>40 um BPP for Au,2mil (Ultra Low Loop) - 16 mil,0.2 - 8mm,Up to 10000 for Step Repeat Matrix,Dual optical path 5.2X and 1X,-,"± 2.5 mil<br>X & Y± 10°(programmable)
",-,CCD,"80um @ 5.2X<br>
1000um @ 1X",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 105mm  ,140 - 300mm,0.1 - 0.8mm,-,4 (40 levels with 0.1'' pitch / 2.54mm),Programmable,32 - 115mm   ,140 - 305mm,180mm (max) ,2.4 - 10mm programmable ,50 mm,"50mm<br>25mm as option",Yes,Yes,Voice coil motor,"Piezo driven, pivot-less mechanism",-,"Constant Current, Constant Voltage, Constant Power",138 KHz / 80KHz,Windows-based GUI,-,-,Max 1500W,-,"minimum 5 BAR, 150 lpm, Inlet tube OD 12mm",-,-,1200mm (width) x 990mm (length) x 1760mm (height),800Kg,-,Yes,-,NA,NA,NA,NA,NA,NA,NA,NA,Capable
3,TwinEagle Xpress GoCu,twineagle-xpress-gocu.png,../html/Wire Bonders Products/TwinEagle Xpress GoCu.html,± 2.0 um @ 3 Sigma, 56mm x 90mm (LF width<=100mm),-,20 wires/sec for 2mm,-,-,30 um BPP,-,0.6 - 7mm, Up to 5000,-,-,-,-,-,-,-,-,30 - 100mm,140 - 300mm,0.1 - 0.8mm,-,Typically 2-3 ,-,30 - 105mm,140 - 305mm ,180mm (max), 2.4 - 10mm programmable,-,-,-,-,-,-,-,-,-,Multi-Lingual,-,-,Max 2000W,-,-,-,-,960mm (width) x 1320mm (length) x 2100mm (height),1050Kg,-,-,-,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Capable
4,iHawk Xpress GoCu,ihawk-xpress-gocu.png,../html/Wire Bonders Products/iHawk Xpress GoCu.html,3.0um @ 3-sigma,56mm x 90mm (LF width<=100mm),"New looping modes (eg Easi 1st kink, 2nd kinks etc.) ",20 wires/sec for 2mm,50nm,40nm,50 um BPP,3 - 16 mil,Max 8mm, Up to 5000,"Single path optics, 2x- 4x adjustable magnification
Dual path optics as option  
",-,"± 2.5 mil<br>X & Y± 10°(programmable)
",-,CCD,-,-,"Multi-phase linear motor and fully programmable
(Handle multi-type devices)
",30 - 100mm,140 - 300mm,0.1 - 0.8mm,-,Typically 2-3 ,Programmable,30 - 105mm,140 - 305mm,55 - 180mm,2.4 - 10mm programmable,50mm,"50mm<br>25mm as option",Yes,Yes,Voice coil motor,Voice coil programmable,1 - 255 ms,Multi-mode with programmable BQM board,138kHz ,Multi-Lingual,-,-,Max 1500W,-,-,-,-,720mm (width) x 820mm (length) x 1600mm (height),750Kg,820Kg,-,-,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Capable
5,Eagle Xpress GoCu,eagle-xpress-gocu.png,../html/Wire Bonders Products/Eagle Xpress GoCu.html,± 2.0 um @ 3-sigma,56 mm x 90 mm (LF width <=100mm),"New looping modes (eg Easi 1st kink, 2nd kinks etc.)",20 wires / sec (2mm wire),50nm,40nm,30 um BPP,3 - 16 mil,0.6 - 7 mm,3000,Programmable Focus Optics 8X and 2.0X,-,"± 2.5 mil<br>X & Y± 10°(programmable)
",-,USB Camera,"96 um @ 8X<br>764 um @ 2.0X
                                                      ",-,"Multi-phase linear motor and fully programmable(Handle multi-type devices)",30 - 100 mm,140 - 300mm,0.1 - 0.8mm,-,3 (40 levels with 0.1'' pitch / 2.54mm),Programmable,30 - 100 mm,140 - 300 mm,180mm (max) ,2.4 - 10 mm Programmable,50 mm,"50mm<br>25mm as option",Yes,Yes,Voice coil motor,Voice coil programmable,1 - 255 ms,Multi-mode with programmable BQM board,138kHz,Windows GUI display,-,-,Max 1500W,-,-,-,-,720mm (width) X 820mm (length) X 1600mm (height),750Kg,820Kg,Yes,-,NA,NA,NA,Available,Yes,Yes,Yes,Yes,Capable
6,TwinEagle Xtreme GoCu,twineagle-xtreme-gocu.png,../html/Wire Bonders Products/TwinEagle Xtreme GoCu.html,± 2.0 um @ 3 Sigma,56mm x 70mm (LF width<=80mm),-,20 wires/sec for 2mm,50nm,100nm,40 um BPP,-,Max 8mm, Up to 5000,-,-,-,-,-,-,-,-,23 - 90mm,140 - 240mm,0.1 - 0.8mm,-,Typically 2-3 ,-,30 - 100mm,140 - 295mm (Standard),55 - 180mm,2.4 - 10mm programmable,-,-,-,-,-,-,-,-,"Mode A: 138kHz <br>Mode B: 73kHz
",Multi-Lingual,-,-,Max 1500W,-,-,-,-,720mm (width) x 960mm (length) x 1600mm (height),1020Kg,-,-,-,NA,NA,Yes,Yes,NA,Yes,NA,NA,Capable
7,iHawk Xtreme GoCu,ihawk-xtreme-gocu.png,../html/Wire Bonders Products/iHawk Xtreme GoCu.html,± 2.0 um @ 3 Sigma,56mm x 70mm (LF width<=80mm),-,20 wires/sec for 2mm,100nm,200nm,-,-,Max 8mm, Up to 5000,-,-,-,-,-,-,-,-,23 - 90mm,140 - 295mm,0.1 - 0.8mm,-,Typically 2-3 ,-, 30 - 100mm, 140 - 295mm, 55 - 180mm,2.4 - 10mm programmable ,-,-,-,-,-,-,-,-,"Mode A: 138kHz <br>Mode B: 73kHz
",Multi-Lingual,-,-,Max 1500W,-,-,-,-,720mm (width) X 820mm (length) X 1600mm (height),750Kg,-,-,-,NA,NA,NA,Yes,NA,NA,NA,NA,Capable
8,Harrier Xtreme GoCu,harrier-xtreme-gocu.png,../html/Wire Bonders Products/Harrier Xtreme GoCu.html,±2.0 um @ 3 Sigma,56mm x 70mm (LF width<=80mm),-,20 wires/sec for 2mm,100nm,200nm,-,-,Max 8mm, Up to 5000,-,-,-,-,-,-,-,-,23 - 90mm,140 - 240mm,0.1 - 0.8mm,-,Typically 2-3 ,-, 30 - 100mm,140 - 295mm,180mm (max) ,2.4 - 10mm programmable ,-,-,-,-,-,-,-,-,"Mode A: 138kHz <br>Mode B: 73kHz
",Multi-Lingual,-,-,Max 2000W,-,-,-,-,720mm (width) x 960mm (length) x 1600mm (height),1020Kg,-,-,-,NA,NA,NA,Yes,NA,NA,NA,NA,Capable
9,Eagle Xtreme GoCu,eagle-xtreme-gocu.png,../html/Wire Bonders Products/Eagle Xtreme GoCu.html,±2.0 um @ 3 Sigma,56mm x 70mm (LF width<=80mm),-,20 wires/sec for 2mm,-,-,-,-,0.6 - 7mm, Up to 5000,-,-,-,-,-,-,-,-,23 - 90mm,140 - 295mm,0.1 - 0.8mm,-,Typically 2-3 ,-,16 - 100mm,140 - 295mm,180mm (max) ,2.4 - 10mm programmable ,-,-,-,-,-,-,-,-,-,Multi-Lingual,-,-,Max 1500W,-,-,-,-,920mm (width) x 850mm (length) x 2100mm (height),730Kg,-,-,-,NA,NA,NA,Yes,Na,NA,Na,NA,Capable
10,iHawk Xpress XL,ihawk-xpress-XL.png,../html/Wire Bonders Products/iHawk Xpress XL.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
